naziv_mjesta,opcina_naziv,zupanija_oznaka
Blagaj,Mostar,HNŽ
Buna,Buna,HNŽ
Međugorje,Čitluk,HNŽ
Čerin,Čitluk,HNŽ
Blatnica,Buna,HNŽ
Doljani,Čapljina,HNŽ
Gabela,Čapljina,HNŽ
Crnići,Crnići,HNŽ
Hutovo,Čapljina,HNŽ
Domanovići,Čapljina,HNŽ
Višići,Čapljina,HNŽ
Studenci,Ljubuški,ZHŽ
Sovići,Grude,ZHŽ
Ljuti Dolac,Široki Brijeg,ZHŽ
Rakitno,Posušje,ZHŽ
Vir,Posušje,ZHŽ
Lištani,Livno,HBŽ
Mesihovina,Livno,HBŽ
Prisoje,Livno,HBŽ
Šujica,Livno,HBŽ
Lusnić,Livno,HBŽ
Podhum,Livno,HBŽ
Vidoši,Livno,HBŽ
Orguz,Livno,HBŽ
Kongora,Tomislavgrad,HBŽ
Roško Polje,Tomislavgrad,HBŽ
Kazaginac,Tomislavgrad,HBŽ
Priluka,Livno,HBŽ
Nova Bila,Busovača,SBŽ
Ozimica,Busovača,SBŽ
Lepenica,Kiseljak,SBŽ
Gojevići,Kiseljak,SBŽ
Pržići,Kiseljak,SBŽ
Uskoplje,Kreševo,SBŽ
Novi Šeher,Tešanj,SBŽ
Divičani,Jajce,SBŽ
Dobretići,Jajce,SBŽ
Usora Žabljak,Tešanj,SBŽ
Usora-Sivša,Tešanj,SBŽ
Stara Bila,Busovača,SBŽ
Kaonik,Busovača,SBŽ
Matići,Orašje,ŽP
Prud,Orašje,ŽP
Tolisa,Orašje,ŽP
Vidovice,Orašje,ŽP
Donja Mahala,Orašje,ŽP
Oštra Luka,Orašje,ŽP
Donji Svilaj,Odžak,ŽP
Seonjaci,Orašje,ŽP
Bijela,Orašje,ŽP
Brčko Novo,Brčko,BRC
Krepšić,Bijeljina,RS-BIJ
Janja,Bijeljina,RS-BIJ
Batković,Bijeljina,RS-BIJ
Dvorovi,Bijeljina,RS-BIJ
Velika Obarska,Bijeljina,RS-BIJ
